
PLAYER	2013/14 	2013/14(*)
372.	Chandler Parsons	$926,500	$1,078,038
373.	Garrett Temple	$916,099	$1,065,936
373.	James Anderson	$916,099	$1,065,936
373.	Chris Johnson	$916,099	$1,065,936
373.	Jeff Adrien	$916,099	$1,065,936
373.	Xavier Henry	$916,099	$1,065,936
373.	Wesley Johnson	$916,099	$1,065,936
379.	Jon Leuer	$900,000	$1,047,204
380.	Mike James	$889,097	$1,034,517
381.	Julyan Stone	$884,293	$1,028,928
381.	Isaiah Thomas	$884,293	$1,028,928
381.	PJ Tucker	$884,293	$1,028,928
381.	E'Twaun Moore	$884,293	$1,028,928
381.	Cole Aldrich	$884,293	$1,028,928
381.	Lance Thomas	$884,293	$1,028,928
381.	Donald Sloan	$884,293	$1,028,928
381.	Josh Harrellson	$884,293	$1,028,928
381.	Greg Smith	$884,293	$1,028,927
381.	Shelvin Mack	$884,293	$1,028,928
391.	Draymond Green	$875,500	$1,018,697
392.	Allen Crabbe	$825,000	$959,937
393.	Elliot Williams	$797,545	$927,991
394.	Robert Sacre	$788,873	$917,901
395.	Aron Baynes	$788,872	$917,900
395.	Quincy Acy	$788,872	$917,900
395.	Will Barton	$788,872	$917,900
395.	Henry Sims	$788,872	$917,900
395.	Kyle O'Quinn	$788,872	$917,900
395.	Doron Lamb	$788,872	$917,900
395.	Darius Miller	$788,872	$917,900
395.	Brian Roberts	$788,872	$917,900
395.	Khris Middleton	$788,872	$917,900
395.	Orlando Johnson	$788,872	$917,900
395.	Patrick Beverley	$788,872	$917,900
395.	Quincy Miller	$788,872	$917,900
395.	Bernard James	$788,872	$917,900
395.	Jae Crowder	$788,872	$917,900
395.	Tornike Shengelia	$788,872	$917,900
395.	Jeffery Taylor	$788,872	$917,900
395.	Mike Scott	$788,872	$917,900
412.	Kent Bazemore	$762,195	$886,859
413.	Diante Garrett	$719,266	$836,909
414.	Malcolm Thomas	$702,233	$817,090
415.	Dwight Buycks	$700,000	$814,492
416.	Leandro Barbosa	$650,359	$756,731
417.	Alexis Ajinca	$635,880	$739,884
418.	DJ Augustin	$592,279	$689,152
419.	Isaiah Canaan	$570,515	$663,828
420.	Jeremy Tyler	$556,584	$647,619
421.	Ricky Ledo	$550,000	$639,958
422.	Kendall Marshall	$547,570	$637,130
423.	Shawne Williams	$535,770	$623,400
424.	Chris Douglas-Roberts	$535,288	$622,839
425.	Jamaal Franklin	$535,000	$622,504
426.	Ray McCallum	$524,616	$610,422
427.	James Johnson	$507,409	$590,401
428.	Ryan Gomes	$495,521	$576,568
429.	Glen Rice Jr	$490,180	$570,354
429.	Ian Clark	$490,180	$570,354
429.	Dionte Christmas	$490,180	$570,354
429.	Hollis Thompson	$490,180	$570,354
429.	Brandon Davies	$490,180	$570,354
429.	Toure Murry	$490,180	$570,354
429.	Jeff Withey	$490,180	$570,354
429.	Robbie Hummel	$490,180	$570,354
429.	Nate Wolters	$490,180	$570,354
429.	Miroslav Raduljica	$490,180	$570,354
429.	Nick Calathes	$490,180	$570,354
429.	Ryan Kelly	$490,180	$570,354
429.	Robert Covington	$490,180	$570,354
