PLAYER	2019/20 	2019/20(*)
343.	Derrick Jones	$1,645,357	$1,745,263
343.	Christian Wood	$1,645,357	$1,745,263
343.	Treveon Graham	$1,645,357	$1,745,263
347.	Furkan Korkmaz	$1,620,564	$1,718,964
347.	Shaquille Harrison	$1,620,564	$1,718,964
349.	Royce O'Neale	$1,618,520	$1,716,796
349.	Wesley Iwundu	$1,618,520	$1,716,796
349.	Abdel Nader	$1,618,520	$1,716,796
349.	Damyean Dotson	$1,618,520	$1,716,796
349.	Frank Jackson	$1,618,520	$1,716,796
349.	Sterling Brown	$1,618,520	$1,716,796
349.	Dillon Brooks	$1,618,520	$1,716,796
349.	Dwayne Bacon	$1,618,520	$1,716,796
349.	Semi Ojeleye	$1,618,520	$1,716,796
358.	Chris Boucher	$1,588,231	$1,684,668
358.	Malcolm Miller	$1,588,231	$1,684,668
358.	Monte Morris	$1,588,231	$1,684,668
361.	Mitchell Robinson	$1,559,712	$1,654,417
362.	Nigel Williams-Goss	$1,500,000	$1,591,079
362.	Isaiah Roby	$1,500,000	$1,591,079
364.	Wenyen Gabriel	$1,445,697	$1,533,479
364.	Shake Milton	$1,445,697	$1,533,479
364.	Theo Pinson	$1,445,697	$1,533,479
364.	Thanasis Antetokounmpo	$1,445,697	$1,533,479
364.	Brad Wanamaker	$1,445,697	$1,533,479
369.	Isaac Bonga	$1,416,852	$1,502,883
369.	Chimezie Metu	$1,416,852	$1,502,883
369.	Gary Trent Jr	$1,416,852	$1,502,883
369.	Elie Okobo	$1,416,852	$1,502,883
369.	Jevon Carter	$1,416,852	$1,502,883
369.	Ryan Broekhoff	$1,416,852	$1,502,883
369.	Melvin Frazier	$1,416,852	$1,502,883
369.	Deonte Burton	$1,416,852	$1,502,883
369.	Hamidou Diallo	$1,416,852	$1,502,883
369.	Kenrich Williams	$1,416,852	$1,502,883
369.	Jarred Vanderbilt	$1,416,852	$1,502,883
369.	Duncan Robinson	$1,416,852	$1,502,883
369.	Kendrick Nunn	$1,416,852	$1,502,883
369.	De'Anthony Melton	$1,416,852	$1,502,883
369.	Alize Johnson	$1,416,852	$1,502,883
369.	Bruce Brown	$1,416,852	$1,502,883
369.	Khyri Thomas	$1,416,852	$1,502,883
369.	Sviatoslav Mykhailiuk	$1,416,852	$1,502,883
369.	Keita Bates-Diop	$1,416,852	$1,502,883
369.	Jalen Brunson	$1,416,852	$1,502,883
369.	Devonte Graham	$1,416,852	$1,502,883
390.	Jaylen Nowell	$1,400,000	$1,485,007
390.	Bruno Fernando	$1,400,000	$1,485,007
392.	Kevin Porter	$1,290,960	$1,369,347
393.	Jordan McRae	$1,254,933	$1,331,132
394.	Carsen Edwards	$1,228,026	$1,302,591
395.	Cody Martin	$1,173,310	$1,244,553
396.	Gary Payton II	$1,052,909	$1,116,841
397.	Admiral Schofield	$1,000,000	$1,060,719
397.	Terance Mann	$1,000,000	$1,060,719
399.	David Nwaba	$903,111	$957,947
400.	Miye Oni	$898,310	$952,855
400.	Dewan Hernandez	$898,310	$952,855
400.	Terence Davis	$898,310	$952,855
400.	Matt Thomas	$898,310	$952,855
400.	Justin James	$898,310	$952,855
400.	DaQuan Jeffries	$898,310	$952,855
400.	Jalen Lecque	$898,310	$952,855
400.	Ignas Brazdeikis	$898,310	$952,855
400.	Naz Reid	$898,310	$952,855
400.	KZ Okpala	$898,310	$952,855
400.	Talen Horton-Tucker	$898,310	$952,855
400.	Eric Paschall	$898,310	$952,855
400.	Alen Smailagic	$898,310	$952,855
400.	Vlatko Cancar	$898,310	$952,855
400.	Daniel Gafford	$898,310	$952,855
400.	Caleb Martin	$898,310	$952,855
400.	Jalen McDaniels	$898,310	$952,855
400.	Nicolas Claxton	$898,310	$952,855
400.	Javonte Green	$898,310	$952,855
419.	Damion Lee	$842,327	$893,473
420.	Jeff Green	$840,427	$891,457
421.	Timothe Luwawu	$837,583	$888,441
422.	Juwan Morgan	$746,054	$791,354
423.	Gary Clark	$718,765	$762,408
424.	Marvin Williams	$604,278	$640,969
425.	Michael Kidd-Gilchrist	$595,122	$631,257
426.	Rayjon Tucker	$578,573	$613,703
427.	Chris Clemons	$563,346	$597,552
428.	Brandon Goodwin	$522,738	$554,478
429.	Reggie Jackson	$512,721	$543,853
430.	Justin Patton	$483,115	$512,449
431.	Anzejs Pasecniks	$482,144	$511,419
432.	Chris Silva	$466,918	$495,269
433.	Troy Daniels	$458,439	$486,275
434.	Anthony Tolliver	$434,704	$461,099
435.	Joakim Noah	$381,360	$404,516
436.	Dion Waiters	$375,385	$398,178
437.	Dean Wade	$375,000	$397,769
438.	Norvel Pelle	$350,189	$371,452
438.	Juan Toscano-Anderson	$350,189	$371,452
438.	Ky Bowman	$350,189	$371,452
441.	Jamal Crawford	$289,803	$307,399
442.	Jordan Bell	$250,000	$265,179
443.	Tyler Zeller	$245,686	$260,604
444.	Trey Burke	$229,220	$243,138
445.	Jontay Porter	$197,933	$209,951
446.	Jerian Grant	$196,288	$208,206
446.	Cameron Payne	$196,288	$208,206
448.	Dragan Bender	$189,700	$201,218
449.	Mychal Mulder	$187,782	$199,184
450.	Corey Brewer	$183,115	$194,233
450.	Sindarius Thornwell	$183,115	$194,233
450.	PJ Dozier	$183,115	$194,233
450.	Tyler Johnson	$183,115	$194,233
454.	Jaylen Adams	$163,356	$173,274
454.	Joe Chealey	$163,356	$173,274
456.	Johnathan Williams	$161,245	$171,035
457.	Luguentz Dort	$155,647	$165,097
458.	Oshae Brissett	$129,568	$137,435
459.	JP Macura	$106,181	$112,628
460.	Donta Hall	$101,504	$107,667
461.	Chasson Randle	$91,557	$97,116
461.	Sheldon Mac	$91,557	$97,116
463.	Jonah Bolden	$89,846	$95,301
464.	Derrick Walton	$81,678	$86,637
465.	Garrison Mathews	$79,568	$84,399
465.	Justin Wright-Foreman	$79,568	$84,399
465.	Jarrell Brantley	$79,568	$84,399
465.	Paul Watson	$79,568	$84,399
465.	Quinndary Weatherspoon	$79,568	$84,399
465.	Drew Eubanks	$79,568	$84,399
465.	Kyle Guy	$79,568	$84,399
465.	Jaylen Hoard	$79,568	$84,399
465.	Moses Brown	$79,568	$84,399
465.	Tariq Owens	$79,568	$84,399
465.	Marial Shayok	$79,568	$84,399
465.	BJ Johnson	$79,568	$84,399
465.	Vic Law	$79,568	$84,399
465.	Kevin Hervey	$79,568	$84,399
465.	Jared Harper	$79,568	$84,399
465.	Kenny Wooten	$79,568	$84,399
465.	Josh Gray	$79,568	$84,399
465.	Zylan Cheatham	$79,568	$84,399
465.	Jordan McLaughlin	$79,568	$84,399
465.	Kelan Martin	$79,568	$84,399
465.	Frank Mason	$79,568	$84,399
465.	Cam Reynolds	$79,568	$84,399
465.	Gabe Vincent	$79,568	$84,399
465.	Kyle Alexander	$79,568	$84,399
465.	Yuta Watanabe	$79,568	$84,399
465.	John Konchar	$79,568	$84,399
465.	Kostas Antetokounmpo	$79,568	$84,399
465.	Devontae Cacok	$79,568	$84,399
465.	Amir Coffey	$79,568	$84,399
465.	Johnathan Motley	$79,568	$84,399
465.	Brian Bowen	$79,568	$84,399
465.	Naz Long	$79,568	$84,399
465.	William Howard	$79,568	$84,399
465.	Michael Frazier	$79,568	$84,399
465.	Louis King	$79,568	$84,399
465.	Jordan Bone	$79,568	$84,399
465.	Tyler Cook	$79,568	$84,399
465.	Bol Bol	$79,568	$84,399
465.	Antonius Cleveland	$79,568	$84,399
465.	Josh Reaves	$79,568	$84,399
465.	Matt Mooney	$79,568	$84,399
465.	Adam Mokoka	$79,568	$84,399
465.	Max Strus	$79,568	$84,399
465.	Kobi Simmons	$79,568	$84,399
465.	Raymond Spalding	$79,568	$84,399
465.	Chris Chiozza	$79,568	$84,399
465.	Jeremiah Martin	$79,568	$84,399
465.	Tremont Waters	$79,568	$84,399
465.	Tacko Fall	$79,568	$84,399
465.	Charlie Brown	$79,568	$84,399
515.	Malik Newman	$65,978	$69,984
